iter	Logloss
0	0.6792463892
1	0.6661145708
2	0.6534049544
3	0.6446105585
4	0.6360646483
5	0.6296047327
6	0.6241091333
7	0.6191022558
8	0.6148690441
9	0.6105390385
10	0.6071045277
11	0.6041798616
12	0.6006577301
13	0.5983947933
14	0.5962091774
15	0.5944350698
16	0.5928121249
17	0.5911537425
18	0.5895751399
19	0.5880845575
20	0.586919467
21	0.5859464787
22	0.5850785233
23	0.5836294809
24	0.5826576854
25	0.5817730181
26	0.5809279695
27	0.5803404977
28	0.5796733487
29	0.5791891323
30	0.5787907047
31	0.5783654075
32	0.5780286148
33	0.577666992
34	0.577373473
35	0.5770872423
36	0.5766600596
37	0.5763930616
38	0.5761217475
39	0.5759738185
40	0.5758565603
41	0.5755650581
42	0.5754138833
43	0.5753002696
44	0.5750775418
45	0.5748389061
46	0.5747153331
47	0.5745956587
48	0.5744611513
49	0.5743784413
50	0.5742888067
51	0.5741375667
52	0.5740050078
53	0.5739516731
54	0.5739014121
55	0.5738072368
56	0.5737712213
57	0.573741311
58	0.5736280299
59	0.5735624421
60	0.5735092373
61	0.5734504733
62	0.5733983877
63	0.5732784626
64	0.5732484641
65	0.5732039693
66	0.5731860794
67	0.5731498497
68	0.5730644524
69	0.5730132325
70	0.5729534299
71	0.5729147533
72	0.5728326599
73	0.5727180711
74	0.5726927565
75	0.5726744769
76	0.572651404
77	0.5726323117
78	0.572595796
79	0.5725795162
80	0.5725326918
81	0.5724982691
82	0.5724171969
83	0.5723856848
84	0.5723564035
85	0.5723150191
86	0.5722878775
87	0.5722720605
88	0.5722405192
89	0.5722254607
90	0.5721664199
91	0.5721155425
92	0.5721010148
93	0.5720686616
94	0.5720518384
95	0.571993691
96	0.5719714247
97	0.5719436051
98	0.571915379
99	0.5718849753
100	0.5718624158
101	0.5718430388
102	0.5718026274
103	0.5717881904
104	0.5717687562
105	0.5717102555
106	0.5716705899
107	0.5716459596
108	0.5716263342
109	0.5716069004
110	0.5715764638
111	0.5715569439
112	0.571537474
113	0.5715118927
114	0.5714408356
115	0.5714240237
116	0.5714043141
117	0.5713823313
118	0.5713477322
119	0.5713213636
120	0.5712737729
121	0.5712630879
122	0.5712446863
123	0.5712114862
124	0.5711863625
125	0.5711671279
126	0.5711470819
127	0.5711273284
128	0.5711159645
129	0.571087713
130	0.571050068
131	0.5710318205
132	0.5710192296
133	0.5709962457
134	0.5709819147
135	0.5709561756
136	0.5709377048
137	0.5709154946
138	0.570896601
139	0.5708671958
140	0.5708408894
141	0.5708145225
142	0.5708019086
143	0.570786238
144	0.5707721876
145	0.5707482749
146	0.5707244446
147	0.5707059523
148	0.5706924325
149	0.57067816
150	0.5706579211
151	0.5706384659
152	0.5706222652
153	0.5706065033
154	0.5705873871
155	0.570572476
156	0.570547919
157	0.5705272728
158	0.570482057
159	0.5704575835
160	0.5704356112
161	0.5704226081
162	0.5704041388
163	0.5703846598
164	0.5703537749
165	0.5703286156
166	0.5703178589
167	0.5703023062
168	0.5702881278
169	0.570264768
170	0.5702466158
171	0.5701948747
172	0.570170243
173	0.5701423801
174	0.5701260051
175	0.5701105688
176	0.5700882663
177	0.5700649744
178	0.5700573355
