iter	Passed	Remaining
0	558	558111
1	1091	544555
2	1602	532640
3	2145	534105
4	2728	542936
5	3245	537753
6	3741	530744
7	4235	525144
8	4761	524304
9	5285	523306
10	5786	520267
11	6342	522206
12	6828	518463
13	7284	513040
14	7755	509246
15	8258	507889
16	8799	508842
17	9318	508352
18	9819	506976
19	10266	503078
20	10812	504072
21	11281	501501
22	11783	500534
23	12350	502257
24	12910	503518
25	13431	503148
26	13942	502428
27	14441	501328
28	14923	499665
29	15436	499102
30	15914	497455
31	16456	497812
32	16959	496969
33	17444	495636
34	17974	495589
35	18463	494411
36	18991	494300
37	19481	493194
38	19998	492790
39	20465	491160
40	20998	491150
41	21507	490564
42	22032	490343
43	22585	490714
44	23165	491624
45	23717	491876
46	24254	491798
47	24791	491697
48	25262	490307
49	25773	489698
50	26299	489375
51	26824	489034
52	27350	488689
53	27832	487575
54	28290	486076
55	28795	485408
56	29328	485206
57	29847	484762
